transaction_id,customer_id,date,account_type,merchant,category,amount
TXN00040,CUST0007,2026-05-21,checking,Walmart,shopping,-97.34
TXN00041,CUST0007,2026-05-27,checking,Direct Deposit - Payroll,income,2530.47
TXN00039,CUST0007,2026-06-06,savings,Home Depot,home,-51.22
TXN00037,CUST0007,2026-06-14,savings,Shell Gas,gas,-7.75
TXN00036,CUST0007,2026-06-17,checking,Starbucks,dining,-241.42
TXN00038,CUST0007,2026-06-20,checking,Direct Deposit - Payroll,income,2687.76
TXN00042,CUST0007,2026-06-30,checking,Target,shopping,-134.53
TXN00043,CUST0008,2026-06-11,savings,Chipotle,dining,-61.52
TXN00044,CUST0008,2026-06-26,checking,AT&T,utilities,-157.17
TXN00045,CUST0008,2026-06-29,savings,Uber,transport,-39.57
TXN00047,CUST0009,2026-05-17,checking,Home Depot,home,-14.25
TXN00049,CUST0009,2026-06-18,savings,Shell Gas,gas,-191.4
TXN00046,CUST0009,2026-06-21,checking,Shell Gas,gas,-43.81
TXN00048,CUST0009,2026-06-28,checking,CVS Pharmacy,health,-175.46
TXN00052,CUST0010,2026-05-21,savings,Kroger,groceries,-228.13
TXN00050,CUST0010,2026-06-06,savings,Direct Deposit - Payroll,income,3028.82
TXN00053,CUST0010,2026-06-12,checking,Shell Gas,gas,-159.36
TXN00051,CUST0010,2026-06-28,checking,Shell Gas,gas,-53.98
TXN00054,CUST0011,2026-05-20,checking,Shell Gas,gas,-198.82
TXN00057,CUST0011,2026-05-23,checking,Home Depot,home,-227.94
TXN00060,CUST0011,2026-05-25,checking,Walmart,shopping,-15.84
TXN00061,CUST0011,2026-05-25,checking,Netflix,entertainment,-207.65
TXN00062,CUST0011,2026-05-28,checking,Duke Energy,utilities,-111.27
TXN00055,CUST0011,2026-06-14,checking,Netflix,entertainment,-86.78
TXN00059,CUST0011,2026-06-24,checking,AT&T,utilities,-111.37
TXN00056,CUST0011,2026-06-27,checking,Kroger,groceries,-232.8
TXN00063,CUST0011,2026-06-27,checking,Netflix,entertainment,-188.63
TXN00058,CUST0011,2026-06-29,checking,Delta Airlines,travel,-74.76
TXN00065,CUST0012,2026-05-29,checking,Target,shopping,-239.47
TXN00066,CUST0012,2026-06-17,checking,Starbucks,dining,-43.09
TXN00064,CUST0012,2026-06-19,checking,Walmart,shopping,-124.91
TXN00070,CUST0013,2026-05-20,savings,Direct Deposit - Payroll,income,1372.35
TXN00072,CUST0013,2026-05-21,checking,Direct Deposit - Payroll,income,1542.21
TXN00071,CUST0013,2026-06-03,checking,Kroger,groceries,-78.57
TXN00069,CUST0013,2026-06-05,checking,CVS Pharmacy,health,-27.41
TXN00068,CUST0013,2026-06-24,checking,Target,shopping,-175.5
TXN00067,CUST0013,2026-06-25,checking,Target,shopping,-234.92
TXN00073,CUST0014,2026-05-17,checking,Target,shopping,-150.15
TXN00078,CUST0014,2026-05-17,checking,Amazon,shopping,-162.1
TXN00074,CUST0014,2026-05-24,checking,AT&T,utilities,-12.34
TXN00076,CUST0014,2026-06-01,checking,CVS Pharmacy,health,-83.54
TXN00075,CUST0014,2026-06-02,checking,Walmart,shopping,-217.53
TXN00077,CUST0014,2026-06-16,checking,Target,shopping,-67.27
TXN00079,CUST0015,2026-05-16,checking,Delta Airlines,travel,-78.17
TXN00083,CUST0015,2026-05-19,savings,Home Depot,home,-44.49
TXN00081,CUST0015,2026-06-08,checking,Netflix,entertainment,-152.31
TXN00082,CUST0015,2026-06-14,checking,Amazon,shopping,-239.13
TXN00080,CUST0015,2026-06-21,checking,Duke Energy,utilities,-42.03
TXN00084,CUST0015,2026-06-21,checking,Shell Gas,gas,-41.14
TXN00087,CUST0016,2026-06-03,checking,Target,shopping,-102.16
TXN00090,CUST0016,2026-06-03,checking,Kroger,groceries,-227.37
TXN00091,CUST0016,2026-06-04,checking,Home Depot,home,-188.28
TXN00089,CUST0016,2026-06-05,checking,Target,shopping,-67.27
TXN00086,CUST0016,2026-06-06,savings,CVS Pharmacy,health,-73.08
TXN00088,CUST0016,2026-06-12,checking,Home Depot,home,-245.3
TXN00085,CUST0016,2026-06-24,checking,Home Depot,home,-71.36
TXN00092,CUST0017,2026-05-20,checking,CVS Pharmacy,health,-220.5
TXN00094,CUST0017,2026-06-14,checking,CVS Pharmacy,health,-110.4
TXN00095,CUST0017,2026-06-15,checking,CVS Pharmacy,health,-224.11
TXN00093,CUST0017,2026-06-19,checking,Home Depot,home,-60.24
TXN00096,CUST0017,2026-06-20,checking,AT&T,utilities,-179.31
TXN00097,CUST0017,2026-06-29,checking,Starbucks,dining,-122.75
TXN00105,CUST0018,2026-05-18,checking,Chipotle,dining,-116.4
TXN00102,CUST0018,2026-06-01,checking,Delta Airlines,travel,-212.4
TXN00099,CUST0018,2026-06-06,checking,Direct Deposit - Payroll,income,2756.36
TXN00104,CUST0018,2026-06-09,checking,CVS Pharmacy,health,-95.0
TXN00101,CUST0018,2026-06-18,checking,Starbucks,dining,-43.57
TXN00098,CUST0018,2026-06-19,checking,Delta Airlines,travel,-232.83
TXN00106,CUST0018,2026-06-23,checking,Amazon,shopping,-191.62
TXN00100,CUST0018,2026-06-28,checking,Duke Energy,utilities,-243.76
TXN00103,CUST0018,2026-06-29,checking,Delta Airlines,travel,-121.03
TXN00113,CUST0019,2026-05-20,checking,AT&T,utilities,-51.52
TXN00110,CUST0019,2026-05-28,checking,Shell Gas,gas,-186.4
TXN00111,CUST0019,2026-06-01,savings,Netflix,entertainment,-240.37
TXN00108,CUST0019,2026-06-04,checking,Kroger,groceries,-106.97
TXN00107,CUST0019,2026-06-05,checking,CVS Pharmacy,health,-71.49
TXN00109,CUST0019,2026-06-14,checking,CVS Pharmacy,health,-90.62
TXN00114,CUST0019,2026-06-21,checking,Delta Airlines,travel,-204.4
TXN00112,CUST0019,2026-06-26,checking,Netflix,entertainment,-232.64
TXN00121,CUST0020,2026-05-19,checking,Target,shopping,-160.78
TXN00116,CUST0020,2026-05-20,savings,Target,shopping,-190.93
TXN00120,CUST0020,2026-05-31,checking,Walmart,shopping,-78.25
TXN00118,CUST0020,2026-06-03,checking,Starbucks,dining,-173.11
TXN00115,CUST0020,2026-06-04,checking,CVS Pharmacy,health,-205.41
TXN00122,CUST0020,2026-06-06,checking,Direct Deposit - Payroll,income,3057.45
TXN00119,CUST0020,2026-06-13,checking,CVS Pharmacy,health,-4.66
TXN00117,CUST0020,2026-06-16,checking,Amazon,shopping,-119.47
TXN00125,CUST0021,2026-05-20,checking,CVS Pharmacy,health,-238.14
TXN00123,CUST0021,2026-06-22,checking,Shell Gas,gas,-226.83
TXN00124,CUST0021,2026-06-30,checking,Delta Airlines,travel,-159.76
TXN00132,CUST0022,2026-05-19,checking,Delta Airlines,travel,-210.46
TXN00130,CUST0022,2026-05-21,savings,CVS Pharmacy,health,-138.93
TXN00126,CUST0022,2026-06-16,checking,Starbucks,dining,-146.31
TXN00131,CUST0022,2026-06-17,checking,Duke Energy,utilities,-125.64
TXN00128,CUST0022,2026-06-20,savings,Netflix,entertainment,-198.75
TXN00127,CUST0022,2026-06-21,checking,Amazon,shopping,-89.23
TXN00129,CUST0022,2026-06-25,savings,Uber,transport,-153.66
TXN00135,CUST0023,2026-05-30,checking,Direct Deposit - Payroll,income,2182.74
TXN00134,CUST0023,2026-06-01,checking,Target,shopping,-18.38
TXN00133,CUST0023,2026-06-22,checking,Delta Airlines,travel,-107.08
TXN00136,CUST0023,2026-06-30,checking,Amazon,shopping,-216.27
TXN00137,CUST0024,2026-05-30,checking,Duke Energy,utilities,-175.19
TXN00138,CUST0024,2026-06-03,checking,CVS Pharmacy,health,-118.58
TXN00141,CUST0024,2026-06-09,checking,Uber,transport,-185.19
TXN00139,CUST0024,2026-06-19,savings,Chipotle,dining,-170.28
TXN00140,CUST0024,2026-06-29,checking,CVS Pharmacy,health,-163.04
TXN00144,CUST0025,2026-06-09,checking,Walmart,shopping,-166.12
TXN00145,CUST0025,2026-06-17,checking,Target,shopping,-140.31
TXN00142,CUST0025,2026-06-21,checking,Delta Airlines,travel,-190.26
TXN00143,CUST0025,2026-06-22,checking,Kroger,groceries,-106.24
TXN00152,CUST0026,2026-05-27,checking,Chipotle,dining,-221.86
TXN00148,CUST0026,2026-05-29,checking,Chipotle,dining,-246.13
TXN00147,CUST0026,2026-05-30,checking,Duke Energy,utilities,-91.37
TXN00150,CUST0026,2026-06-22,checking,Walmart,shopping,-179.44
TXN00149,CUST0026,2026-06-23,savings,Walmart,shopping,-165.02
TXN00146,CUST0026,2026-06-27,checking,Chipotle,dining,-65.89
TXN00151,CUST0026,2026-06-28,savings,Uber,transport,-25.54
TXN00154,CUST0027,2026-05-19,savings,Duke Energy,utilities,-153.74
TXN00155,CUST0027,2026-05-22,checking,Kroger,groceries,-227.82
TXN00153,CUST0027,2026-06-18,checking,Chipotle,dining,-5.53
TXN00156,CUST0028,2026-05-17,checking,Uber,transport,-169.73
TXN00163,CUST0028,2026-05-25,checking,Chipotle,dining,-9.02
TXN00164,CUST0028,2026-05-30,checking,CVS Pharmacy,health,-228.8
TXN00159,CUST0028,2026-06-04,checking,Shell Gas,gas,-217.82
TXN00161,CUST0028,2026-06-11,savings,Walmart,shopping,-38.12
TXN00158,CUST0028,2026-06-19,checking,CVS Pharmacy,health,-157.82
TXN00162,CUST0028,2026-06-19,checking,Delta Airlines,travel,-216.16
TXN00157,CUST0028,2026-06-28,savings,Uber,transport,-24.42
TXN00160,CUST0028,2026-06-30,checking,AT&T,utilities,-232.91
TXN00167,CUST0029,2026-05-19,checking,CVS Pharmacy,health,-149.62
TXN00165,CUST0029,2026-05-25,checking,Duke Energy,utilities,-203.34
TXN00166,CUST0029,2026-06-30,savings,Home Depot,home,-113.83
TXN00170,CUST0030,2026-05-19,checking,Kroger,groceries,-6.29
TXN00169,CUST0030,2026-05-21,checking,CVS Pharmacy,health,-224.36
TXN00172,CUST0030,2026-06-13,checking,Duke Energy,utilities,-120.19
TXN00171,CUST0030,2026-06-17,savings,Shell Gas,gas,-215.18
TXN00168,CUST0030,2026-06-25,checking,Target,shopping,-139.01
TXN00178,CUST0031,2026-05-22,checking,Kroger,groceries,-164.07
TXN00175,CUST0031,2026-05-26,checking,Home Depot,home,-76.11
TXN00176,CUST0031,2026-06-14,checking,Home Depot,home,-168.71
TXN00174,CUST0031,2026-06-21,checking,Walmart,shopping,-179.53
TXN00173,CUST0031,2026-06-27,checking,Target,shopping,-50.1
TXN00177,CUST0031,2026-06-30,savings,Direct Deposit - Payroll,income,2634.42
TXN00181,CUST0032,2026-05-31,savings,Walmart,shopping,-183.03
TXN00180,CUST0032,2026-06-10,checking,Duke Energy,utilities,-153.8
TXN00179,CUST0032,2026-06-20,checking,Chipotle,dining,-183.44
TXN00182,CUST0032,2026-06-23,checking,CVS Pharmacy,health,-241.72
TXN00186,CUST0033,2026-05-23,checking,Kroger,groceries,-164.13
TXN00188,CUST0033,2026-05-24,checking,Duke Energy,utilities,-208.83
TXN00183,CUST0033,2026-05-31,checking,CVS Pharmacy,health,-201.25
TXN00189,CUST0033,2026-06-06,savings,Chipotle,dining,-64.54
TXN00184,CUST0033,2026-06-13,checking,Chipotle,dining,-115.38
TXN00185,CUST0033,2026-06-13,checking,AT&T,utilities,-86.14
TXN00190,CUST0033,2026-06-16,checking,CVS Pharmacy,health,-193.78
TXN00187,CUST0033,2026-06-30,savings,Walmart,shopping,-182.52
TXN00193,CUST0034,2026-05-25,checking,Starbucks,dining,-203.69
TXN00194,CUST0034,2026-05-26,checking,Amazon,shopping,-213.39
TXN00195,CUST0034,2026-05-27,checking,CVS Pharmacy,health,-126.99
TXN00200,CUST0034,2026-05-27,checking,AT&T,utilities,-136.98
TXN00198,CUST0034,2026-06-01,checking,Starbucks,dining,-170.7
TXN00196,CUST0034,2026-06-06,checking,Shell Gas,gas,-123.25
TXN00191,CUST0034,2026-06-13,checking,Starbucks,dining,-83.1
TXN00197,CUST0034,2026-06-16,checking,Netflix,entertainment,-181.66
TXN00192,CUST0034,2026-06-28,checking,Chipotle,dining,-230.47
TXN00199,CUST0034,2026-06-30,checking,Home Depot,home,-66.66
TXN00201,CUST0035,2026-05-28,checking,AT&T,utilities,-101.95
TXN00205,CUST0035,2026-05-28,checking,Walmart,shopping,-92.29
TXN00206,CUST0035,2026-05-30,checking,Duke Energy,utilities,-14.97
TXN00207,CUST0035,2026-06-01,savings,Walmart,shopping,-95.43
TXN00202,CUST0035,2026-06-10,checking,Direct Deposit - Payroll,income,2866.66
TXN00204,CUST0035,2026-06-12,checking,Netflix,entertainment,-202.24
TXN00203,CUST0035,2026-06-17,checking,Target,shopping,-53.66
TXN00208,CUST0035,2026-06-29,checking,AT&T,utilities,-81.68
TXN00215,CUST0036,2026-05-16,checking,Kroger,groceries,-141.12
TXN00212,CUST0036,2026-05-24,checking,Chipotle,dining,-113.93
TXN00210,CUST0036,2026-05-30,savings,Netflix,entertainment,-217.06
TXN00211,CUST0036,2026-06-13,checking,Uber,transport,-68.35
TXN00214,CUST0036,2026-06-25,checking,Walmart,shopping,-48.46
TXN00216,CUST0036,2026-06-26,checking,Target,shopping,-212.02
TXN00209,CUST0036,2026-06-28,checking,Starbucks,dining,-9.06
TXN00213,CUST0036,2026-06-28,checking,Duke Energy,utilities,-36.2
TXN00225,CUST0037,2026-05-18,checking,Walmart,shopping,-235.09
TXN00218,CUST0037,2026-05-19,checking,Walmart,shopping,-161.6
TXN00223,CUST0037,2026-05-20,checking,Starbucks,dining,-178.56
TXN00221,CUST0037,2026-06-08,checking,Amazon,shopping,-66.94
TXN00217,CUST0037,2026-06-14,checking,Direct Deposit - Payroll,income,3118.59
TXN00220,CUST0037,2026-06-16,savings,Walmart,shopping,-247.96
TXN00219,CUST0037,2026-06-20,checking,Delta Airlines,travel,-114.29
TXN00224,CUST0037,2026-06-21,savings,AT&T,utilities,-17.72
TXN00222,CUST0037,2026-06-27,savings,Kroger,groceries,-226.52
TXN00231,CUST0038,2026-05-22,savings,Amazon,shopping,-58.26
TXN00232,CUST0038,2026-06-02,checking,Duke Energy,utilities,-188.28
TXN00228,CUST0038,2026-06-15,checking,Walmart,shopping,-45.47
TXN00227,CUST0038,2026-06-23,checking,Target,shopping,-67.22
TXN00226,CUST0038,2026-06-24,checking,Uber,transport,-190.44
TXN00230,CUST0038,2026-06-28,checking,Target,shopping,-52.0
TXN00229,CUST0038,2026-06-30,checking,AT&T,utilities,-170.7
TXN00233,CUST0039,2026-05-21,savings,Direct Deposit - Payroll,income,2884.5
TXN00236,CUST0039,2026-06-02,checking,Netflix,entertainment,-48.34
TXN00235,CUST0039,2026-06-09,checking,Target,shopping,-94.04
TXN00234,CUST0039,2026-06-16,checking,Shell Gas,gas,-87.59
TXN00241,CUST0040,2026-05-19,checking,Delta Airlines,travel,-224.18
TXN00237,CUST0040,2026-06-04,savings,Target,shopping,-69.53
TXN00238,CUST0040,2026-06-12,checking,Netflix,entertainment,-70.69
TXN00240,CUST0040,2026-06-21,checking,Walmart,shopping,-122.68
TXN00239,CUST0040,2026-06-24,checking,Walmart,shopping,-68.13
TXN00247,CUST0041,2026-05-28,checking,Walmart,shopping,-112.98
TXN00246,CUST0041,2026-05-29,savings,Amazon,shopping,-7.94
TXN00244,CUST0041,2026-06-12,savings,Netflix,entertainment,-28.0
TXN00245,CUST0041,2026-06-12,savings,Chipotle,dining,-18.14
TXN00242,CUST0041,2026-06-14,checking,Delta Airlines,travel,-74.41
TXN00243,CUST0041,2026-06-14,checking,AT&T,utilities,-93.61
TXN00254,CUST0042,2026-05-17,checking,Uber,transport,-6.47
TXN00251,CUST0042,2026-05-23,checking,Uber,transport,-25.51
TXN00248,CUST0042,2026-06-04,checking,Amazon,shopping,-13.97
TXN00252,CUST0042,2026-06-17,checking,Home Depot,home,-71.38
TXN00250,CUST0042,2026-06-18,checking,Delta Airlines,travel,-179.06
TXN00253,CUST0042,2026-06-18,checking,Amazon,shopping,-178.11
TXN00249,CUST0042,2026-06-19,checking,Netflix,entertainment,-48.45
TXN00261,CUST0043,2026-05-28,checking,Walmart,shopping,-113.66
TXN00256,CUST0043,2026-05-30,checking,Walmart,shopping,-161.24
TXN00257,CUST0043,2026-05-31,checking,Shell Gas,gas,-227.91
TXN00255,CUST0043,2026-06-08,checking,Duke Energy,utilities,-17.62
TXN00262,CUST0043,2026-06-10,checking,Shell Gas,gas,-179.79
TXN00258,CUST0043,2026-06-19,savings,Amazon,shopping,-69.5
TXN00259,CUST0043,2026-06-20,checking,Uber,transport,-94.31
TXN00263,CUST0043,2026-06-27,checking,AT&T,utilities,-97.82
TXN00260,CUST0043,2026-06-30,checking,Home Depot,home,-150.34
TXN00268,CUST0044,2026-05-17,savings,Duke Energy,utilities,-8.78
TXN00270,CUST0044,2026-05-17,checking,CVS Pharmacy,health,-132.64
TXN00266,CUST0044,2026-05-22,checking,Kroger,groceries,-25.79
TXN00269,CUST0044,2026-05-23,checking,Home Depot,home,-8.35
TXN00267,CUST0044,2026-05-26,checking,Amazon,shopping,-80.73
TXN00264,CUST0044,2026-06-02,checking,Duke Energy,utilities,-183.81
TXN00265,CUST0044,2026-06-22,checking,Delta Airlines,travel,-201.91
TXN00277,CUST0045,2026-05-23,checking,CVS Pharmacy,health,-107.44
TXN00272,CUST0045,2026-05-24,checking,Kroger,groceries,-118.35
TXN00275,CUST0045,2026-06-01,checking,Duke Energy,utilities,-168.52
TXN00279,CUST0045,2026-06-09,checking,AT&T,utilities,-102.57
TXN00280,CUST0045,2026-06-10,checking,Home Depot,home,-245.38
TXN00274,CUST0045,2026-06-16,savings,Chipotle,dining,-137.23
TXN00271,CUST0045,2026-06-19,checking,Shell Gas,gas,-27.1
TXN00273,CUST0045,2026-06-23,checking,Delta Airlines,travel,-31.07
TXN00278,CUST0045,2026-06-27,checking,Delta Airlines,travel,-242.74
TXN00276,CUST0045,2026-06-29,checking,Home Depot,home,-237.26
TXN00288,CUST0046,2026-05-18,savings,Kroger,groceries,-156.75
TXN00283,CUST0046,2026-05-28,checking,CVS Pharmacy,health,-93.65
TXN00284,CUST0046,2026-05-29,checking,Amazon,shopping,-110.53
TXN00282,CUST0046,2026-06-03,savings,CVS Pharmacy,health,-65.32
TXN00285,CUST0046,2026-06-05,checking,CVS Pharmacy,health,-38.29
TXN00281,CUST0046,2026-06-21,checking,Duke Energy,utilities,-83.92
TXN00286,CUST0046,2026-06-28,savings,AT&T,utilities,-115.62
TXN00287,CUST0046,2026-06-28,savings,AT&T,utilities,-243.43
TXN00289,CUST0046,2026-06-28,checking,Uber,transport,-137.39
TXN00291,CUST0047,2026-05-20,checking,Kroger,groceries,-79.13
TXN00293,CUST0047,2026-05-27,checking,Direct Deposit - Payroll,income,2132.83
TXN00292,CUST0047,2026-05-29,checking,Amazon,shopping,-150.2
TXN00290,CUST0047,2026-06-15,checking,Starbucks,dining,-7.36
TXN00298,CUST0048,2026-05-26,checking,Netflix,entertainment,-94.24
TXN00296,CUST0048,2026-06-01,checking,Home Depot,home,-138.39
TXN00297,CUST0048,2026-06-06,checking,Uber,transport,-58.52
TXN00294,CUST0048,2026-06-12,checking,Target,shopping,-36.32
TXN00295,CUST0048,2026-06-15,checking,Direct Deposit - Payroll,income,1776.61
TXN00305,CUST0049,2026-05-19,checking,Shell Gas,gas,-89.61
TXN00302,CUST0049,2026-05-26,savings,Amazon,shopping,-62.68
TXN00304,CUST0049,2026-05-26,checking,Starbucks,dining,-9.36
TXN00300,CUST0049,2026-05-27,checking,Netflix,entertainment,-50.45
TXN00301,CUST0049,2026-06-08,savings,Chipotle,dining,-101.53
TXN00303,CUST0049,2026-06-17,checking,Walmart,shopping,-74.07
TXN00299,CUST0049,2026-06-29,checking,Uber,transport,-205.43
TXN00308,CUST0050,2026-05-18,checking,Chipotle,dining,-90.7
TXN00307,CUST0050,2026-06-21,checking,Delta Airlines,travel,-239.99
TXN00306,CUST0050,2026-06-24,checking,Delta Airlines,travel,-112.21
TXN00311,CUST0051,2026-05-16,checking,Starbucks,dining,-178.3
TXN00309,CUST0051,2026-05-28,checking,Uber,transport,-72.08
TXN00310,CUST0051,2026-05-31,checking,Shell Gas,gas,-186.85
TXN00312,CUST0051,2026-06-04,checking,Amazon,shopping,-29.43
TXN00313,CUST0051,2026-06-05,checking,AT&T,utilities,-32.89
TXN00314,CUST0051,2026-06-13,checking,Uber,transport,-213.09
TXN00316,CUST0052,2026-05-28,checking,Home Depot,home,-90.83
TXN00318,CUST0052,2026-06-06,checking,AT&T,utilities,-247.47
TXN00315,CUST0052,2026-06-12,savings,Chipotle,dining,-174.39
TXN00317,CUST0052,2026-06-30,checking,Delta Airlines,travel,-163.46
TXN00327,CUST0053,2026-05-18,checking,Chipotle,dining,-14.02
TXN00321,CUST0053,2026-05-23,savings,Duke Energy,utilities,-83.67
TXN00324,CUST0053,2026-05-27,checking,Starbucks,dining,-126.34
TXN00322,CUST0053,2026-06-03,checking,Duke Energy,utilities,-84.15
TXN00325,CUST0053,2026-06-03,checking,AT&T,utilities,-156.52
TXN00326,CUST0053,2026-06-03,checking,Delta Airlines,travel,-182.87
TXN00319,CUST0053,2026-06-21,checking,Starbucks,dining,-78.79
TXN00320,CUST0053,2026-06-25,checking,Chipotle,dining,-147.07
TXN00328,CUST0053,2026-06-26,checking,Walmart,shopping,-6.55
TXN00323,CUST0053,2026-06-27,savings,Direct Deposit - Payroll,income,1221.38
TXN00329,CUST0054,2026-05-20,checking,Shell Gas,gas,-127.22
TXN00331,CUST0054,2026-05-22,checking,Chipotle,dining,-112.28
TXN00332,CUST0054,2026-05-28,savings,Direct Deposit - Payroll,income,1886.56
TXN00334,CUST0054,2026-05-29,savings,Walmart,shopping,-207.2
TXN00333,CUST0054,2026-06-10,checking,Home Depot,home,-46.0
TXN00330,CUST0054,2026-06-18,savings,Delta Airlines,travel,-41.94
TXN00337,CUST0055,2026-05-29,checking,CVS Pharmacy,health,-75.32
TXN00336,CUST0055,2026-06-04,savings,Duke Energy,utilities,-129.18
TXN00339,CUST0055,2026-06-08,checking,Kroger,groceries,-152.37
TXN00335,CUST0055,2026-06-09,checking,Shell Gas,gas,-76.55
TXN00338,CUST0055,2026-06-19,checking,Netflix,entertainment,-50.27
TXN00342,CUST0056,2026-05-19,checking,Chipotle,dining,-148.21
TXN00340,CUST0056,2026-06-11,checking,Home Depot,home,-197.76
TXN00341,CUST0056,2026-06-11,checking,Home Depot,home,-4.96
TXN00343,CUST0057,2026-05-25,checking,Netflix,entertainment,-193.17
TXN00344,CUST0057,2026-05-29,savings,Starbucks,dining,-224.31
TXN00345,CUST0057,2026-06-23,checking,Amazon,shopping,-105.13
TXN00347,CUST0058,2026-05-30,checking,Shell Gas,gas,-237.17
TXN00349,CUST0058,2026-06-10,checking,CVS Pharmacy,health,-193.56
TXN00350,CUST0058,2026-06-20,checking,Amazon,shopping,-91.05
TXN00348,CUST0058,2026-06-27,checking,Duke Energy,utilities,-109.93
TXN00346,CUST0058,2026-06-29,checking,Amazon,shopping,-129.33
TXN00351,CUST0059,2026-05-24,checking,Starbucks,dining,-215.39
TXN00353,CUST0059,2026-05-24,checking,Kroger,groceries,-223.07
TXN00352,CUST0059,2026-06-06,checking,Shell Gas,gas,-114.66
TXN00356,CUST0060,2026-06-01,checking,Walmart,shopping,-217.28
TXN00354,CUST0060,2026-06-16,checking,Target,shopping,-62.62
TXN00355,CUST0060,2026-06-19,checking,Kroger,groceries,-148.4
TXN00358,CUST0061,2026-05-16,checking,Shell Gas,gas,-99.89
TXN00359,CUST0061,2026-05-16,checking,Uber,transport,-80.05
TXN00357,CUST0061,2026-05-30,checking,Chipotle,dining,-240.17
TXN00363,CUST0061,2026-06-05,checking,Walmart,shopping,-98.86
TXN00362,CUST0061,2026-06-23,checking,Direct Deposit - Payroll,income,2323.07
TXN00360,CUST0061,2026-06-25,checking,Target,shopping,-217.58
TXN00361,CUST0061,2026-06-30,checking,Amazon,shopping,-97.24
TXN00364,CUST0062,2026-05-26,checking,Shell Gas,gas,-228.6
TXN00365,CUST0062,2026-06-08,checking,Netflix,entertainment,-118.89
TXN00367,CUST0062,2026-06-22,checking,Walmart,shopping,-63.48
TXN00366,CUST0062,2026-06-29,checking,Netflix,entertainment,-72.67
TXN00370,CUST0063,2026-06-05,checking,Amazon,shopping,-57.25
TXN00371,CUST0063,2026-06-11,checking,Chipotle,dining,-146.86
TXN00369,CUST0063,2026-06-15,checking,Delta Airlines,travel,-209.73
TXN00368,CUST0063,2026-06-22,checking,Netflix,entertainment,-209.41
TXN00372,CUST0064,2026-05-18,checking,Delta Airlines,travel,-215.16
TXN00380,CUST0064,2026-05-19,savings,AT&T,utilities,-82.98
TXN00373,CUST0064,2026-05-23,savings,Amazon,shopping,-249.49
TXN00374,CUST0064,2026-05-27,checking,Direct Deposit - Payroll,income,3179.95
TXN00377,CUST0064,2026-06-06,savings,Delta Airlines,travel,-185.04
TXN00381,CUST0064,2026-06-07,checking,Direct Deposit - Payroll,income,2323.98
TXN00378,CUST0064,2026-06-11,checking,Kroger,groceries,-143.65
TXN00379,CUST0064,2026-06-19,checking,Kroger,groceries,-25.17
